"Story","Title","Result","Date","Stability","Duration (s)"
"Delete Posts Feature","Delete posts with valid id","FAILURE","2022-11-12T11:44:20.068+07:00[Asia/Bangkok]","0.0","18.25"
"Get Post Lists","Get list posts with invalid parameter page with character & special character","FAILURE","2022-11-12T11:44:43.219+07:00[Asia/Bangkok]","0.0","0.74"
"Get single post","Get single post with valid id","FAILURE","2022-11-12T11:44:43.987+07:00[Asia/Bangkok]","0.0","2.42"
"Post Create New User","Post create user using valid body json","FAILURE","2022-11-12T11:44:46.837+07:00[Asia/Bangkok]","0.0","0.63"
"Create posts feature","Create posts with valid body json","FAILURE","2022-11-12T11:44:49.086+07:00[Asia/Bangkok]","0.0","0.41"
"Put Update Comment","Put update comment with valid id without authentication","FAILURE","2022-11-12T11:44:52.394+07:00[Asia/Bangkok]","0.0","0.36"
"Put Update Comment","Put update comment with empty body comment on body json and authenticated","ERROR","2022-11-12T11:44:53.543+07:00[Asia/Bangkok]","0.0","0.14"
"Update Posts Feature","Put update posts with valid body json and valid id","FAILURE","2022-11-12T11:44:54.472+07:00[Asia/Bangkok]","0.0","1.14"
"Update Posts Feature","Put update posts without authentication","FAILURE","2022-11-12T11:44:57.265+07:00[Asia/Bangkok]","0.0","0.69"
"Update Posts Feature","Put update posts with invalid title","FAILURE","2022-11-12T11:44:57.971+07:00[Asia/Bangkok]","0.0","0.72"
"Update Posts Feature","Put update posts with invalid body","FAILURE","2022-11-12T11:44:58.704+07:00[Asia/Bangkok]","0.0","0.69"
"Update Posts Feature","Put update posts with invalid body json","FAILURE","2022-11-12T11:44:59.406+07:00[Asia/Bangkok]","0.0","0.86"
